layer,ztz,ftf,norm_z,norm_f,norm_z_hat,l_recon,text
1,2756.664,2746.438,52.503944,52.406467,52.25581,19.561352,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
2,4301.2373,4294.17,65.58382,65.529915,64.52839,98.44829,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
3,3301.2075,3641.2153,57.456135,60.342484,56.512947,123.25804,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
4,3757.3667,4240.524,61.297363,65.11931,58.716965,242.87038,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
5,3989.975,3394.3477,63.16625,58.261032,60.238358,330.6579,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
6,5376.809,4169.8667,73.32673,64.57451,67.96655,692.18396,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
7,5397.652,4293.892,73.46871,65.527794,70.639915,683.2638,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
8,7644.1235,5211.3096,87.43068,72.1894,81.46236,972.0887,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
9,7619.264,6280.0615,87.2884,79.24684,82.68009,1033.1245,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
10,11385.514,8161.132,106.70292,90.33898,100.2755,1717.2622,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
11,14659.609,9162.163,121.07687,95.71919,111.98871,2355.794,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
12,18795.402,11120.047,137.09633,105.45163,126.04598,3299.4617,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
13,19743.422,11916.88,140.51129,109.16446,125.65349,3376.3018,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
14,31518.508,17301.762,177.53453,131.53616,163.95158,4433.3477,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
15,31984.54,19523.639,178.84222,139.72702,164.64835,4997.931,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
16,45892.797,24770.309,214.22604,157.38586,199.79137,5365.3745,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
17,58101.914,33293.816,241.04338,182.46593,220.61922,8099.149,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
18,60059.22,36675.152,245.06982,191.50758,230.48032,7887.0967,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
19,78770.164,48132.633,280.66022,219.39151,267.63193,9640.955,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
20,105561.22,60755.613,324.90186,246.48654,316.04922,10951.454,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
21,137029.22,78147.664,370.1746,279.54904,361.0348,13552.963,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
22,181760.28,110383.625,426.33353,332.24033,413.31033,19686.414,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
23,256197.94,142027.81,506.16,376.86578,482.37204,29061.926,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
24,341499.3,182682.0,584.37946,427.41315,555.64795,38163.84,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
25,451614.53,234005.64,672.0227,483.7413,620.0922,56596.316,"ances as terrific this year as the work of Justina Machado and Rita Moreno, as a"
1,5944.4893,8590.425,77.10052,92.68455,71.46205,722.1986,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
2,6522.179,5593.954,80.76001,74.79274,71.009094,1219.8799,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
3,8011.7627,7400.3965,89.50845,86.02556,80.61817,1111.0303,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
4,7760.9775,5023.8154,88.09641,70.878876,80.317604,1223.8983,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
5,9184.777,7953.232,95.83724,89.18089,88.14305,940.8213,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
6,9512.049,5676.7617,97.52973,75.34429,88.4985,1478.5134,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
7,12473.93,6848.2373,111.686745,82.754074,101.87665,1558.3298,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
8,13569.145,7530.9277,116.48667,86.780914,105.60855,1831.9851,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
9,21717.559,10253.4,147.36879,101.25908,138.45776,2269.4746,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
10,24870.39,10983.666,157.70349,104.802986,144.70482,3116.3203,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
11,27913.934,12295.5625,167.07463,110.88536,153.53134,3646.0544,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
12,36350.156,16123.402,190.65717,126.97796,177.53134,4085.3315,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
13,29257.9,14874.817,171.04941,121.962364,155.67787,4043.8962,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
